Car_Brand,Model,Engine_Type,Fuel_Efficiency,Safety_Rating,Price,Price_IR,Driving_Condition,Temperature,Road_Type,Traffic_Level,Weather_Condition,Engine_Performance,Battery_Range,Braking_Performance,Comfort_Rating,Emissions,Acceleration,Suspension_Performance,Vehicle_Condition,Tire_Condition,Driver_Experience,Performance_Optimization,Scenario_Adaptability,Rim_Wheel_Size,Rim_Wheel_Style,Rim_Wheel_Material,Spoiler,Bumper_Type,Side_Skirts,Power_Upgrade,Turbo_Supercharger
Ford,Mustang,Diesel,35,5,74337,6318645,Urban,6,Highway,Medium,Rainy,404,,170,6,150,6,6,Poor,Worn,Novice,Medium,6,18,Sport,Carbon Fiber,Yes,Sport,No,Stock,Turbo
BMW,3 Series,Diesel,26,4,60696,5159160,Off-Road,27,Highway,Low,Clear,267,,193,8,286,9,8,Poor,New,Novice,Low,5,21,Sport,Carbon Fiber,No,Sport,Yes,Stage 1,Turbo
Ford,Mustang,Diesel,15,5,79050,6719250,Heavy Traffic,12,Highway,Low,Rainy,244,,110,9,272,6,8,Well-maintained,Worn,Novice,Medium,2,21,Off-road,Steel,No,Sport,No,Stage 1,None
BMW,X5,Electric,21,5,29782,2531470,Highway,10,Off-road terrain,Medium,Clear,373,,191,8,268,5,5,Moderate wear,New,Intermediate,High,7,17,Off-road,Carbon Fiber,Yes,Reinforced,No,Stock,Supercharger
Mercedes,GLE,Diesel,29,4,73006,6205510,Heavy Traffic,1,City streets,High,Snowy,488,,109,9,178,7,8,Poor,Worn,Novice,High,3,19,Sport,Steel,No,Standard,Yes,Stage 1,Turbo
Tesla,Model 3,Electric,17,5,36940,3139900,Highway,2,Off-road terrain,Low,Snowy,158,,159,7,226,9,5,Poor,Flat,Expert,Medium,2,18,Classic,Steel,Yes,Standard,Yes,Stock,Turbo
Toyota,Camry,Petrol,32,5,70383,5982555,Urban,2,City streets,Low,Clear,161,,188,6,261,5,8,Well-maintained,Flat,Expert,Medium,5,17,Luxury,Steel,Yes,Sport,Yes,Stock,Supercharger
Tesla,Model S,Petrol,39,4,70971,6032535,Highway,12,Off-road terrain,High,Rainy,241,,150,9,260,5,8,Well-maintained,Worn,Novice,Medium,3,21,Off-road,Alloy,No,Sport,No,Stage 3,None
Ford,Mustang,Petrol,16,4,21141,1796985,Heavy Traffic,12,Off-road terrain,Medium,Clear,450,,146,8,225,9,6,Poor,New,Expert,Low,3,20,Classic,Alloy,No,Sport,No,Stock,Turbo
Tesla,Model S,Diesel,33,4,34892,2965820,Heavy Traffic,18,City streets,Low,Rainy,363,,122,9,168,6,8,Poor,Flat,Novice,Low,4,18,Sport,Carbon Fiber,Yes,Reinforced,No,Stock,None
Mercedes,GLE,Diesel,37,4,52894,4495990,Urban,29,Highway,Low,Clear,459,,121,9,177,7,8,Well-maintained,Worn,Expert,Low,6,18,Sport,Steel,No,Reinforced,Yes,Stage 1,Turbo
Mercedes,GLE,Petrol,37,4,24758,2104430,Heavy Traffic,17,Off-road terrain,High,Clear,307,,176,8,295,5,9,Well-maintained,Flat,Expert,Low,2,20,Luxury,Steel,No,Sport,Yes,Stage 3,None
Tesla,Model S,Electric,23,4,38771,3295535,Off-Road,21,Highway,High,Rainy,394,,156,8,170,6,9,Well-maintained,New,Expert,High,6,19,Luxury,Carbon Fiber,No,Standard,No,Stage 2,None
Mercedes,GLE,Diesel,20,4,62481,5310885,Urban,0,Off-road terrain,Low,Clear,224,,113,7,152,9,7,Well-maintained,Flat,Intermediate,High,4,21,Off-road,Steel,No,Sport,No,Stock,None
Mercedes,GLE,Diesel,33,4,57016,4846360,Heavy Traffic,28,City streets,Medium,Snowy,360,,124,9,222,5,6,Poor,New,Intermediate,Low,2,20,Off-road,Carbon Fiber,No,Standard,Yes,Stage 3,Turbo
Ford,F-150,Diesel,21,4,60005,5100425,Heavy Traffic,26,City streets,High,Clear,436,,109,7,167,8,8,Well-maintained,New,Expert,Low,4,17,Sport,Alloy,No,Sport,No,Stock,None
Toyota,Corolla,Petrol,34,5,44162,3753770,Urban,-1,Off-road terrain,Low,Rainy,228,,117,8,151,9,9,Moderate wear,New,Intermediate,High,9,18,Luxury,Steel,Yes,Reinforced,Yes,Stage 1,None
Tesla,Model 3,Petrol,24,5,63492,5396820,Urban,7,City streets,Low,Rainy,222,,151,8,279,8,9,Poor,New,Intermediate,Medium,3,18,Luxury,Carbon Fiber,Yes,Standard,No,Stage 3,Turbo
Mercedes,E-Class,Diesel,39,4,51926,4413710,Urban,11,City streets,Medium,Snowy,162,,191,7,268,7,6,Poor,Worn,Expert,Medium,4,20,Classic,Carbon Fiber,No,Reinforced,Yes,Stage 1,Supercharger
Mercedes,E-Class,Diesel,39,4,24239,2060315,Off-Road,18,City streets,High,Snowy,184,,154,7,251,8,7,Well-maintained,New,Expert,Medium,8,20,Classic,Steel,Yes,Sport,Yes,Stage 2,Turbo
Tesla,Model 3,Diesel,24,5,71372,6066620,Highway,7,Off-road terrain,High,Snowy,183,,135,6,155,6,9,Moderate wear,New,Expert,High,8,21,Luxury,Steel,No,Reinforced,No,Stage 2,Turbo
Tesla,Model 3,Diesel,30,5,78533,6675305,Off-Road,8,Off-road terrain,Medium,Rainy,170,,153,9,252,7,7,Moderate wear,Flat,Expert,High,1,17,Off-road,Carbon Fiber,No,Standard,No,Stage 2,Supercharger
