Car_Brand,Model,Engine_Type,Fuel_Efficiency,Safety_Rating,Price,Driving_Condition,Temperature,Road_Type,Traffic_Level,Weather_Condition,Engine_Performance,Battery_Range,Braking_Performance,Comfort_Rating,Emissions,Acceleration,Suspension_Performance,Vehicle_Condition,Tire_Condition,Driver_Experience,Performance_Optimization,Scenario_Adaptability
Ford,Mustang,Diesel,35,5,74337,Urban,6,Highway,Medium,Rainy,404,,170,6,150,6,6,Poor,Worn,Novice,Medium,6
BMW,3 Series,Diesel,26,4,60696,Off-Road,27,Highway,Low,Clear,267,,193,8,286,9,8,Poor,New,Novice,Low,5
Ford,Mustang,Diesel,15,5,79050,Heavy Traffic,12,Highway,Low,Rainy,244,,110,9,272,6,8,Well-maintained,Worn,Novice,Medium,2
BMW,X5,Electric,21,5,29782,Highway,10,Off-road terrain,Medium,Clear,373,,191,8,268,5,5,Moderate wear,New,Intermediate,High,7
Mercedes,GLE,Diesel,29,4,73006,Heavy Traffic,1,City streets,High,Snowy,488,,109,9,178,7,8,Poor,Worn,Novice,High,3
Tesla,Model 3,Electric,17,5,36940,Highway,2,Off-road terrain,Low,Snowy,158,,159,7,226,9,5,Poor,Flat,Expert,Medium,2
Toyota,Camry,Petrol,32,5,70383,Urban,2,City streets,Low,Clear,161,,188,6,261,5,8,Well-maintained,Flat,Expert,Medium,5
Tesla,Model S,Petrol,39,4,70971,Highway,12,Off-road terrain,High,Rainy,241,,150,9,260,5,8,Well-maintained,Worn,Novice,Medium,3
Ford,Mustang,Petrol,16,4,21141,Heavy Traffic,12,Off-road terrain,Medium,Clear,450,,146,8,225,9,6,Poor,New,Expert,Low,3
Tesla,Model S,Diesel,33,4,34892,Heavy Traffic,18,City streets,Low,Rainy,363,,122,9,168,6,8,Poor,Flat,Novice,Low,4
Mercedes,GLE,Diesel,37,4,52894,Urban,29,Highway,Low,Clear,459,,121,9,177,7,8,Well-maintained,Worn,Expert,Low,6
Mercedes,GLE,Petrol,37,4,24758,Heavy Traffic,17,Off-road terrain,High,Clear,307,,176,8,295,5,9,Well-maintained,Flat,Expert,Low,2
Tesla,Model S,Electric,23,4,38771,Off-Road,21,Highway,High,Rainy,394,,156,8,170,6,9,Well-maintained,New,Expert,High,6
Mercedes,GLE,Diesel,20,4,62481,Urban,0,Off-road terrain,Low,Clear,224,,113,7,152,9,7,Well-maintained,Flat,Intermediate,High,4
Mercedes,GLE,Diesel,33,4,57016,Heavy Traffic,28,City streets,Medium,Snowy,360,,124,9,222,5,6,Poor,New,Intermediate,Low,2
Ford,F-150,Diesel,21,4,60005,Heavy Traffic,26,City streets,High,Clear,436,,109,7,167,8,8,Well-maintained,New,Expert,Low,4
Toyota,Corolla,Petrol,34,5,44162,Urban,-1,Off-road terrain,Low,Rainy,228,,117,8,151,9,9,Moderate wear,New,Intermediate,High,9
Tesla,Model 3,Petrol,24,5,63492,Urban,7,City streets,Low,Rainy,222,,151,8,279,8,9,Poor,New,Intermediate,Medium,3
Mercedes,E-Class,Diesel,39,4,51926,Urban,11,City streets,Medium,Snowy,162,,191,7,268,7,6,Poor,Worn,Expert,Medium,4
Mercedes,E-Class,Diesel,39,4,24239,Off-Road,18,City streets,High,Snowy,184,,154,7,251,8,7,Well-maintained,New,Expert,Medium,8
Tesla,Model 3,Diesel,24,5,71372,Highway,7,Off-road terrain,High,Snowy,183,,135,6,155,6,9,Moderate wear,New,Expert,High,8
Tesla,Model 3,Diesel,30,5,78533,Off-Road,8,Off-road terrain,Medium,Rainy,170,,153,9,252,7,7,Moderate wear,Flat,Expert,High,1
Mercedes,E-Class,Electric,15,4,26380,Extreme Weather,34,Off-road terrain,High,Snowy,368,,179,7,236,5,7,Poor,Worn,Novice,High,2
BMW,X5,Electric,17,5,31695,Urban,-1,Off-road terrain,High,Snowy,265,,113,8,261,9,9,Poor,Flat,Novice,Low,2
Ford,Mustang,Electric,17,5,59182,Highway,30,Off-road terrain,High,Snowy,339,,146,6,254,6,9,Moderate wear,New,Novice,High,2
Hyundai,Sonata,Petrol,39,4,47125,Extreme Weather,1,City streets,High,Rainy,187,,113,9,240,6,5,Well-maintained,Worn,Novice,Medium,4
Mercedes,E-Class,Electric,16,4,26449,Heavy Traffic,11,Highway,High,Rainy,281,,184,8,243,5,5,Well-maintained,New,Expert,High,5
Toyota,Corolla,Diesel,16,5,55427,Highway,16,Highway,Medium,Clear,306,,137,8,259,5,6,Poor,New,Expert,High,1
BMW,3 Series,Electric,37,5,54335,Heavy Traffic,27,Highway,Low,Rainy,377,,159,7,211,6,6,Moderate wear,New,Novice,Medium,6
Mercedes,E-Class,Electric,33,5,66158,Heavy Traffic,12,Off-road terrain,Medium,Snowy,435,,197,7,216,6,6,Poor,Worn,Intermediate,Medium,1
BMW,3 Series,Electric,26,4,79213,Urban,3,Off-road terrain,High,Rainy,447,,150,9,277,8,7,Moderate wear,New,Intermediate,High,1
Tesla,Model 3,Electric,24,5,64243,Urban,23,Off-road terrain,Low,Snowy,247,,164,8,261,6,6,Well-maintained,Worn,Intermediate,Low,9
Hyundai,Kona EV,Electric,15,4,46081,Off-Road,29,Highway,Low,Snowy,457,,184,6,214,7,5,Poor,New,Novice,Low,6
Ford,Mustang,Diesel,21,5,31962,Extreme Weather,17,Off-road terrain,Low,Clear,257,,178,7,195,9,8,Moderate wear,Worn,Expert,Low,2
Ford,Mustang,Petrol,36,4,25269,Heavy Traffic,26,City streets,Low,Clear,388,,157,7,295,9,5,Poor,Flat,Intermediate,High,7
BMW,X5,Electric,16,5,45142,Highway,21,City streets,Low,Clear,204,,196,9,236,9,6,Poor,Flat,Expert,Low,2
Toyota,Corolla,Electric,21,4,46655,Urban,25,Highway,High,Snowy,254,,100,6,163,8,6,Poor,Worn,Intermediate,Medium,4
Mercedes,GLE,Petrol,31,5,66270,Extreme Weather,6,City streets,High,Clear,469,,158,7,279,8,6,Poor,New,Expert,High,7
BMW,3 Series,Electric,38,5,65156,Highway,32,City streets,Low,Clear,269,,196,6,206,6,5,Moderate wear,New,Novice,High,5
Ford,Mustang,Petrol,31,4,32982,Highway,23,Highway,Low,Snowy,423,,141,9,250,9,6,Well-maintained,New,Intermediate,High,4
Ford,F-150,Electric,19,5,31468,Extreme Weather,9,Off-road terrain,High,Snowy,396,,118,7,175,5,6,Moderate wear,Worn,Novice,Medium,5
Tesla,Model 3,Electric,17,4,77248,Urban,6,City streets,High,Rainy,198,,154,7,248,8,8,Well-maintained,Worn,Expert,Medium,4
Mercedes,GLE,Petrol,21,4,38895,Urban,10,Highway,Low,Clear,497,,105,9,297,5,7,Moderate wear,Worn,Intermediate,Low,1
Ford,F-150,Electric,28,4,48412,Heavy Traffic,20,Off-road terrain,Medium,Snowy,257,,129,6,289,6,8,Well-maintained,New,Intermediate,Medium,2
BMW,3 Series,Diesel,30,5,78446,Heavy Traffic,7,Off-road terrain,Low,Rainy,279,,183,9,195,7,8,Moderate wear,Worn,Expert,Medium,6
Mercedes,GLE,Diesel,22,4,65178,Extreme Weather,24,City streets,High,Rainy,220,,195,9,168,8,7,Well-maintained,Flat,Novice,Low,5
Tesla,Model S,Petrol,20,5,56132,Off-Road,3,Off-road terrain,High,Rainy,166,,125,6,221,9,5,Poor,Worn,Intermediate,High,3
Hyundai,Sonata,Electric,31,4,23240,Highway,4,Highway,Low,Rainy,372,,100,9,252,8,6,Well-maintained,Worn,Intermediate,High,6
Toyota,Camry,Electric,22,4,41584,Highway,4,Highway,Medium,Clear,274,,150,8,276,8,5,Moderate wear,Worn,Expert,High,4
